2026-08-04 15:50:47,715  [HIGH] Anomalia detectada | Score=0.733 | Votos={'isolation_forest': 1.0, 'arima': 0.0, 'lstm': 1.0} | Metricas={'request_count': 194.0, 'unique_users': 23.0, 'error_count': 60.0, 'course_count': 5.0}
2026-08-04 15:50:47,715  [HIGH] Anomalia detectada | Score=0.733 | Votos={'isolation_forest': 1.0, 'arima': 0.0, 'lstm': 1.0} | Metricas={'request_count': 194.0, 'unique_users': 23.0, 'error_count': 60.0, 'course_count': 5.0}
2026-08-04 22:12:05,377  [HIGH] Anomalia detectada | Score=0.733 | Votos={'isolation_forest': 1.0, 'arima': 0.0, 'lstm': 1.0} | Metricas={'request_count': 82.0, 'unique_users': 32.0, 'error_count': 80.0, 'course_count': 2.0}
2026-08-04 22:12:05,378  [HIGH] Anomalia detectada | Score=0.733 | Votos={'isolation_forest': 1.0, 'arima': 0.0, 'lstm': 1.0} | Metricas={'request_count': 82.0, 'unique_users': 32.0, 'error_count': 80.0, 'course_count': 2.0}
2026-08-04 22:19:09,417  [MEDIUM] Anomalia detectada | Score=0.600 | Votos={'isolation_forest': 1.0, 'arima': 1.0, 'lstm': 0.0} | Metricas={'request_count': 148.0, 'unique_users': 50.0, 'error_count': 0.0, 'course_count': 0.0}
2026-08-04 22:19:09,417  [MEDIUM] Anomalia detectada | Score=0.600 | Votos={'isolation_forest': 1.0, 'arima': 1.0, 'lstm': 0.0} | Metricas={'request_count': 148.0, 'unique_users': 50.0, 'error_count': 0.0, 'course_count': 0.0}
2026-08-14 20:33:28,580  [HIGH] Anomalia detectada | Score=0.682 | Votos={'isolation_forest': 0.0, 'arima': 1.0, 'lstm': 0.0} | Metricas={'request_count': 5.0, 'unique_users': 5.0, 'error_count': 0.0, 'course_count': 4.0}
2026-08-14 20:33:28,580  [HIGH] Anomalia detectada | Score=0.682 | Votos={'isolation_forest': 0.0, 'arima': 1.0, 'lstm': 0.0} | Metricas={'request_count': 5.0, 'unique_users': 5.0, 'error_count': 0.0, 'course_count': 4.0}
2026-08-15 10:46:51,492  [HIGH] Anomalia detectada | Score=0.733 | Votos={'isolation_forest': 1.0, 'arima': 0.0, 'lstm': 1.0} | Metricas={'request_count': 92.0, 'unique_users': 40.0, 'error_count': 80.0, 'course_count': 6.0}
2026-08-15 10:46:51,493  [HIGH] Anomalia detectada | Score=0.733 | Votos={'isolation_forest': 1.0, 'arima': 0.0, 'lstm': 1.0} | Metricas={'request_count': 92.0, 'unique_users': 40.0, 'error_count': 80.0, 'course_count': 6.0}
2026-08-15 10:51:53,886  [MEDIUM] Anomalia detectada | Score=0.612 | Votos={'isolation_forest': 0.0, 'arima': 0.0, 'lstm': 1.0} | Metricas={'request_count': 8.0, 'unique_users': 7.0, 'error_count': 0.0, 'course_count': 4.0}
